filename,source,source_id_swath_site,split,class_id,class_name,num_objects
Barge_No_1_01__tile_r0000_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0000_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0000_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0000_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0001_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0001_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0001_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0001_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0002_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0002_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0002_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0002_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0003_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0003_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0003_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0003_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0004_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0004_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0004_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0004_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0005_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0005_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0005_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_01__tile_r0005_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_01,train,-1,negative_background,0
Barge_No_1_02__tile_r0000_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,2,shipwreck,1
Barge_No_1_02__tile_r0000_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0000_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0000_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0001_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,2,shipwreck,1
Barge_No_1_02__tile_r0001_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0001_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0001_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0002_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,2,shipwreck,1
Barge_No_1_02__tile_r0002_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0002_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0002_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0003_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0003_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0003_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0003_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0004_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0004_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0004_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0004_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0005_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0005_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0005_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_02__tile_r0005_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_02,train,-1,negative_background,0
Barge_No_1_03__tile_r0000_c0000.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_03,train,-1,negative_background,0
Barge_No_1_03__tile_r0000_c0001.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_03,train,-1,negative_background,0
Barge_No_1_03__tile_r0000_c0002.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_03,train,-1,negative_background,0
Barge_No_1_03__tile_r0000_c0003.png,AI4Shipwrecks-NOAA-ThunderBay,Barge_No_1_03,train,-1,negative_background,0
